City_ID,Country,City,Date,Lat,Long,Cloudiness,Humidity,Wind_Speed,Temp_Max
3838859,AR,Río Gallegos,1601343508,-51.62,-69.22,79,75,10.29,32
3833367,AR,Ushuaia,1601343509,-54.8,-68.3,40,92,11.41,32
3874787,CL,Punta Arenas,1601343273,-53.15,-70.92,20,91,10.29,32
4845585,US,Westport,1601343222,41.14,-73.36,20,88,6.93,69.8
3874930,CL,Puerto Varas,1601343511,-41.32,-72.99,90,93,4.7,48.2
965301,ZA,Edendale,1601343512,-29.65,30.31,65,95,1.7,54
2179537,NZ,Wellington,1601343375,-41.29,174.78,100,40,23.04,51.8
2206874,NZ,Waipawa,1601343513,-41.41,175.52,100,40,23.04,51.8
3899695,CL,Ancud,1601343514,-41.87,-73.82,100,93,1.99,48.99
2189529,NZ,Invercargill,1601343515,-46.4,168.35,100,79,15.01,39.99
2181997,NZ,Takaka,1601343253,-40.85,172.8,9,40,5.01,55
3873145,CL,Río Bueno,1601343517,-40.32,-72.97,100,81,4.7,48.2
7647007,AR,Bariloche,1601343517,-41.15,-71.31,99,65,10.29,46.4
2186377,NZ,Murchison,1601343518,-41.8,172.33,100,77,11.59,38.84
2180219,NZ,Waikuku,1601343519,-43.3,172.68,76,31,29.97,48.99
2160517,AU,Launceston,1601343520,-41.45,147.17,90,66,14.99,57.99
3897334,CL,Calbuco,1601343521,-41.77,-73.13,90,93,4.7,48.2
3695466,PE,La Unión,1601343522,-5.4,-80.75,0,76,12.37,63.86
2206894,NZ,Hokitika,1601343522,-42.72,170.97,54,53,29.42,47.37
2184512,NZ,Pleasant Point,1601343523,-44.27,171.13,100,27,11.99,46.99
2640729,GB,Oxford,1601343351,51.75,-1.26,90,100,5.82,59
2180815,NZ,Tuatapere,1601343525,-46.13,167.68,93,79,15.01,39.99
2192828,NZ,Bulls,1601343526,-40.17,175.38,100,72,11.99,53.01
2192964,NZ,Brightwater,1601343527,-41.38,173.12,40,40,13,52
2181625,NZ,Te Anau,1601343528,-45.42,167.72,100,83,4.25,36.12
2208248,NZ,Kaitangata,1601343529,-46.28,169.85,100,83,23,35.01
2183299,NZ,Rongotea,1601343530,-40.3,175.42,100,72,11.99,53.01
2206372,NZ,Otaki,1601343531,-40.76,175.15,100,40,23.04,53.01
2145532,AU,Ulverstone,1601343532,-41.15,146.17,100,64,8.01,57
2183824,NZ,Rakaia,1601343533,-43.75,172.02,100,39,11.01,46.99
6331908,US,Milton,1601343533,34.13,-84.3,100,87,5.84,73
3832899,AR,Viedma,1601343534,-40.81,-63,100,41,10.38,54.25
2181133,NZ,Timaru,1601343402,-44.4,171.25,100,27,11.99,46.99
2206895,NZ,Greymouth,1601343536,-42.47,171.2,87,58,24.05,44.74
3894426,CL,Coyhaique,1601343537,-45.58,-72.07,40,86,4.7,41
3839307,AR,Rawson,1601343357,-43.3,-65.1,71,38,8.88,58.64
