City_Id,Country,City,Date,Lat,Long,Cloudiness,Humidity,Wind_Speed,Temp_Max
3838859,AR,Río Gallegos,1601341191,-51.62,-69.22,20,69,4.7,35.6
3833367,AR,Ushuaia,1601341101,-54.8,-68.3,20,92,10.29,32.0
3874787,CL,Punta Arenas,1601341093,-53.15,-70.92,20,55,8.05,33.8
4845585,US,Westport,1601341175,41.14,-73.36,1,83,5.82,69.8
3874930,CL,Puerto Varas,1601341268,-41.32,-72.99,90,93,4.7,48.2
965301,ZA,Edendale,1601341253,-29.65,30.31,88,94,0.6,54.0
2179537,NZ,Wellington,1601340982,-41.29,174.78,90,40,24.16,53.01
2206874,NZ,Waipawa,1601341255,-41.41,175.52,100,40,24.16,53.01
3899695,CL,Ancud,1601341256,-41.87,-73.82,100,93,1.99,48.99
2189529,NZ,Invercargill,1601341257,-46.4,168.35,100,82,24.0,36.0
2181997,NZ,Takaka,1601341273,-40.85,172.8,14,37,3.0,55.0
3873145,CL,Río Bueno,1601341267,-40.32,-72.97,100,71,8.05,50.0
7647007,AR,Bariloche,1601341274,-41.15,-71.31,75,65,9.17,46.4
2186377,NZ,Murchison,1601341276,-41.8,172.33,100,80,11.34,40.95
2180219,NZ,Waikuku,1601341276,-43.3,172.68,68,31,27.51,48.2
2160517,AU,Launceston,1601341277,-41.45,147.17,90,66,11.41,55.99
3897334,CL,Calbuco,1601341278,-41.77,-73.13,90,93,4.7,48.2
3695466,PE,La Unión,1601341279,-5.4,-80.75,0,75,16.51,64.22
2206894,NZ,Hokitika,1601341281,-42.72,170.97,89,54,30.36,47.05
2184512,NZ,Pleasant Point,1601341282,-44.27,171.13,100,27,14.0,46.99
2640729,GB,Oxford,1601341014,51.75,-1.26,100,100,5.82,59.0
2180815,NZ,Tuatapere,1601341283,-46.13,167.68,71,82,24.0,36.0
2192828,NZ,Bulls,1601341284,-40.17,175.38,99,62,15.01,52.0
2192964,NZ,Brightwater,1601341285,-41.38,173.12,55,37,3.0,55.0
2181625,NZ,Te Anau,1601341286,-45.42,167.72,100,84,5.95,35.08
2208248,NZ,Kaitangata,1601341286,-46.28,169.85,100,85,8.99,34.0
2183299,NZ,Rongotea,1601341287,-40.3,175.42,99,62,15.01,50.0
2206372,NZ,Otaki,1601341288,-40.76,175.15,100,59,15.01,52.0
2145532,AU,Ulverstone,1601341289,-41.15,146.17,100,70,5.01,54.0
2183824,NZ,Rakaia,1601341289,-43.75,172.02,100,44,11.99,45.0
6331908,US,Milton,1601341206,34.13,-84.3,100,91,4.54,73.0
3832899,AR,Viedma,1601341291,-40.81,-63.0,100,74,9.24,50.0
2181133,NZ,Timaru,1601341180,-44.4,171.25,100,27,14.0,46.99
2206895,NZ,Greymouth,1601341292,-42.47,171.2,82,60,26.24,43.97
3894426,CL,Coyhaique,1601341293,-45.58,-72.07,75,87,4.7,42.8
3839307,AR,Rawson,1601341252,-43.3,-65.1,41,37,7.29,58.68
2184707,NZ,Wanaka,1601341294,-44.7,169.15,85,74,14.81,35.17
2173125,AU,Burnie,1601341295,-41.07,145.92,100,72,10.0,54.0
3333212,GB,Wakefield,1601341297,53.68,-1.5,47,87,3.87,55.99
2184904,NZ,Te Horo,1601341297,-40.81,175.12,100,59,15.01,53.01
2188444,NZ,Leeston,1601341298,-43.77,172.3,100,31,27.51,48.2
2187365,NZ,Mapua,1601341299,-41.25,173.1,9,37,3.0,55.0
3874960,CL,Port Montt,1601341300,-41.47,-72.94,90,93,4.7,48.2
2178982,NZ,Woodend,1601341301,-43.32,172.67,72,31,27.51,48.2
4951594,US,Southbridge,1601341302,42.08,-72.03,14,92,6.29,66.99
2186280,NZ,Nelson,1601341175,-41.28,173.28,55,39,3.0,55.0
2155415,AU,New Norfolk,1601341304,-42.78,147.06,0,56,1.99,59.0
2206361,NZ,Patea,1601341304,-39.76,174.48,99,80,13.0,52.0
2077454,AU,Australind,1601341305,-33.27,115.72,51,87,7.0,59.0
3855075,AR,General Pico,1601341275,-35.66,-63.76,100,52,11.41,60.39
2063030,AU,Port Pirie,1601341309,-33.18,138.02,75,42,17.22,64.4
3442727,UY,Durazno,1601341310,-33.41,-56.5,0,74,4.03,51.28
2156643,AU,Mount Gambier,1601341311,-37.83,140.77,40,58,17.22,57.2
946877,ZA,Uitenhage,1601341312,-33.76,25.4,2,66,14.99,55.4
963516,ZA,Queenstown,1601341312,-31.9,26.88,100,74,3.4,46.44
4163971,US,Melbourne,1601341044,28.08,-80.61,40,83,9.01,75.99
2187908,NZ,Maketu,1601341314,-37.77,176.45,0,52,13.0,60.01
